courseId, courseName, courseDepartment, creditHours, description
AAS310,Race and Cultural Diversity,Asian American Studies,4 hours.,Same as AFRO 310  EPOL 310  EPS 310  and LLS 310. See EPS 310.
AAS291,Hinduism in the United States,Asian American Studies,3 hours.,Same as REL 291. See REL 291.
AAS317,Asian American Politics,Asian American Studies,3 hours.,Same as PS 317. See PS 317.
AAS501,Theory and Methods in AAS,Asian American Studies,4 hours.,Foundational gateway course for graduate study in Asian American Studies  examining the political  historical  epistemological  and cultural bases of the field through an intensive reading of canonical works and study of core concepts in the field. Also highlights the problems of interdisciplinary research and scholarship and adopts an intersectional and coalitional approach to Asian American Studies as it assumes the necessary linkages between other areas in ethic/racial and gender/sexuality studies.
AAS265,Politics of Hip Hop,Asian American Studies,3 hours.,Same as LLS 265. See LLS 265.
AAS211,Asian Americans and the Arts,Asian American Studies,3 hours.,Examination of Asian American artistic expressions in the visual and the performing arts providing historical  theoretical  and conceptual foundations of understanding the history of various art genres in Asian American communities. Prerequisite: AAS 100 or AAS 120  or consent of instructor.
AAS297,Asian Families in America,Asian American Studies,3 hours.,Same as HDFS 221 and SOCW 297. See SOCW 297.
AAS328,Asian Americans &amp; Inequalities,Asian American Studies,3 hours.,Same as SOC 328. See SOC 328.
AAS281,Constructing Race in America,Asian American Studies,3 hours.,Same as AFRO 281  HIST 281  and LLS 281. See HIST 281.
AAS395,Adv Asian Am Undergrad Reading,Asian American Studies,2 OR 3 hours.,Supervised reading and research in upper level Asian American Studies topics chosen by the student with instructor approval. May be repeated to a maximum of 6 hours. Prerequisite: AAS 100.
AAS435,Commodifying Difference,Asian American Studies,3 OR 4 hours.,Same as AFRO 435  GWS 435  LLS 435  and MACS 432. See LLS 435.
AAS275,The Politics of Fashion,Asian American Studies,3 hours.,Same as GWS 275. See GWS 275.
AAS315,War  Memory  and Cinema,Asian American Studies,3 hours.,Interdisciplinary examination of the ways that memories of war  trauma  and immigration are produced through the medium of film. Because war has been key to discourses and practices of imperialism and globalization  some questions addressed will include how these wars have impacted the nation and the global order  as well as how images about these wars produced important constructions of race  gender  and sexuality for national and cultural identities. Also examines the aftereffects of war by analyzing connections between war's trauma  race  immigration  and incarceration. Students will read critical texts  film theory  screenplays  and view films. Same as GWS 315. Prerequisite: AAS 100 or AAS 120  or consent of the instructor.
AAS260,Intro Asian American Theatre,Asian American Studies,3 hours.,Same as THEA 260. See THEA 260.
ABE424,Principles of Mobile Robotics,Agricultural and Biological Engineering,4 hours.,The objective of this course is to prepare students in design  navigation  control  and autonomy of aerial and ground robots that operate in harsh  uncertain  and changing field environments. The course will cover three primary aspects of field robotics: perception (sensing)  motion control  and data analytics  and bring everything together through labs involving ground robots and flying unmanned aircraft (drones). 4 undergraduate hours. 4 graduate hours. Approved for Letter and S/U grading. Prerequisite: MATH 221  MATH 225  and MATH 285   or ABE 415  or ABE 440  IE 300  or STAT 400 or equiv  CS 125 or equiv.  or graduate standing.
ABE226,ABE Principles: Bioprocessing,Agricultural and Biological Engineering,2 hours.,Principles of bioprocess engineering applied to food and agricultural products: material balances; fluid flow; heat and mass transfers; drying; evaporation; fermentation; distillation; process simulation. Prerequisite: One of MATH 220  MATH 221  MATH 234.
ABE425,Engrg Measurement Systems,Agricultural and Biological Engineering,4 hours.,Principles of instrumentation systems  including sensing  signal conditioning  computerized data acquisition  test design  data analysis and synthesis. Additional fees may apply. See Class Schedule. 4 undergraduate hours. 4 graduate hours. Credit is not given for both ABE 425 and ME 360. Prerequisite: ECE 205.
ABE225,ABE Principles: Bioenvironment,Agricultural and Biological Engineering,2 hours.,Principles of environmental control for biological structures: psychrometrics; mass and heat transfer through buildings; ventilation requirements. Prerequisite: One of MATH 220  MATH 221  MATH 234.
ABE341,Transport Processes in ABE,Agricultural and Biological Engineering,3 hours.,Principles of transport processes involving momentum  heat  and mass as applied to biological systems in agriculture  food  energy  and the environment. Credit is not given for both ABE 341 and CHBE 421. Prerequisite: ABE 223  ABE 224  ABE 225  ABE 226  and PHYS 213.
ABE141,ABE Principles: Biological,Agricultural and Biological Engineering,2 hours.,Principles of biology relevant to agriculture  food  energy  and the environment  including microbiology  biochemistry  genetics  plant and animal systems  and ecosystems. Case studies of engineering applications where these biological principles have been taken into account or leveraged for the purpose of design.
ABE445,Statistical Methods,Agricultural and Biological Engineering,4 hours.,Same as ANSC 445 and NRES 445. See ANSC 445.
ABE476,Indoor Air Quality Engineering,Agricultural and Biological Engineering,4 hours.,Principles and applications of indoor air quality. Particle mechanics  gas kinetics  air quality sampling principles and techniques  air cleaning technologies such as filters  cyclones  electrostatic precipitation for indoor environments; ventilation effectiveness for pollutant control. Research or design project. 4 undergraduate hours. 4 graduate hours. Prerequisite: PHYS 213  MATH 285  and TAM 335.
ABE100,Intro Agric &amp; Biological Engrg,Agricultural and Biological Engineering,1 hours.,Introduction to the engineering profession with career opportunities in the agricultural and biological engineering discipline. Concepts necessary for becoming a successful engineer including time management  design concepts  ethics  and teambuilding. Familiarization with laboratories  computer facilities  internships  and other opportunities. Team design experience. Emphasis on technical communication and problem-solving skills as well as career planning.
ABE455,Erosion and Sediment Control,Agricultural and Biological Engineering,2 hours.,Processes  estimation  and control of soil erosion by water  wind and resultant sedimentation. Upland  in-channel  urban  agricultural  disturbed (both military training and mining)  and forested environments. Capstone experience in site planning and design. 2 undergraduate hours. 2 graduate hours. Prerequisite: CEE 350 or NRES 401; CEE 380 or NRES 201.
ABE199,Undergraduate Open Seminar,Agricultural and Biological Engineering,1 TO 5 hours.,May be repeated to a maximum of 12 hours.
ABE526,Autonomous Systems and Robots,Agricultural and Biological Engineering,4 hours.,The objective of this course is to cover theory and techniques essential for building cyber-physical systems capable of autonomous decision making in the real-world. This course will lay a foundation for theory and techniques in autonomous planning  machine learning  and adaptive sequential decision making. Topics covered include Planning under uncertainty  Bayesian Nonparametric machine learning  Deep learning and Neural Networks  Markov Decision Processes  and Reinforcement Learning. A key emphasis of the course is placed on transition of fundamental aspects of autonomous decision making to application on robotics systems. 4 graduate hours. No professional credit. Prerequisite: MATH 225; MATH 416  or equivalent; STAT 400  Math 461 or equivalent. An introductory course in machine learning (e.g. CS 446)  control (e.g. SE 422)  robotics (e.g. ABE 424  ECE 470)  OR Artificial Intelligence (CS 440) is required. An introductory software programming course is recommended. Restricted to graduate students in Engineering.
ABE466,Engineering Off-Road Vehicles,Agricultural and Biological Engineering,3 hours.,Design and application of off-road vehicles for farm and construction use; thermodynamics of engines; measurement of power and efficiencies; power transmission and traction; chassis mechanics; operator environment. 3 undergraduate hours. 3 graduate hours. Credit is not given for both ABE 466 and TSM 464. Prerequisite: ME 300.
ABE459,Drainage and Water Management,Agricultural and Biological Engineering,3 OR 4 hours.,Design  construction  performance  and maintenance of agricultural drainage systems to meet both production and water quality objectives. Modeling drainage systems. Principles of conservation drainage. 3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: Credit or concurrent registration in TAM 335.
ABE446,Biological Nanoengineering,Agricultural and Biological Engineering,3 OR 4 hours.,Nanodevice design through organization of functional biological components; bio-molecular function and bioconjugation techniques in nanotechnology; modulation of biological systems using nanotechnology; issues related to applying biological nanotechnology in food energy  health  and the environment. 3 undergraduate hours. 4 graduate hours. Prerequisite: MCB 150.
ABE469,Industry-Linked Design Project,Agricultural and Biological Engineering,4 hours.,Industry-submitted and sponsored design projects which utilize principles of design  engineering analysis and functional operation of engineering systems. Design teams develop concepts  evaluate alternatives  model and analyze solutions  and build and test a final product. Emphases on communication skills  technical writing  and interaction with industry representatives. 4 undergraduate hours. 4 graduate hours. Prerequisite: One of ABE 361  CHBE 421  TAM 335; or credit or concurrent registration in ME 370.
ABE456,Land &amp; Water Resources Engrg,Agricultural and Biological Engineering,3 OR 4 hours.,Hydrology  hydraulics  design  construction and cost estimating of structures for the conservation and quality control of soil and water resources; relationship of topography  soils  crops  climate  and cultural practices in conservation and quality control of soil and water for agriculture. 3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: Credit or concurrent registration in TAM 335.
ABE598,Special Topics,Agricultural and Biological Engineering,1 TO 4 hours.,Subject offerings of new and developing areas of knowledge in agricultural and biological engineering intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. May be repeated in the same or separate terms if topics vary to a maximum of 8 hours.
ABE497,Independent Study,Agricultural and Biological Engineering,1 TO 4 hours.,Individual research  special problems  thesis  development or design work under the supervision of a member of the faculty. 1 to 4 undergraduate hours. No graduate credit. May be repeated to a maximum of 8 hours. Prerequisite: Consent of instructor.
ABE451,International Water Project II,Agricultural and Biological Engineering,3 hours.,Second of two courses that assists an international rural community in establishing a holistic water system. Complete final engineering designs  project funding documents and governance guidance by working closely with alumni mentors and professional advisors. Open to students in all majors. Same as LAST 441. 3 undergraduate hours. No graduate credit. Prerequisite: ABE 450 or instructor approval.
ABE463,Electrohydraulic Systems,Agricultural and Biological Engineering,3 hours.,Engineering principles of electrohydraulic control systems related to off-road vehicles. Basics of fluid power systems  concepts of electrohydraulic systems and controls  analysis and design of electrohydraulic control systems  and applications of electrohydraulic control. Additional fees may apply. See Class Schedule. 3 undergraduate hours. 3 graduate hours. Prerequisite: ECE 110 or both ECE 205 and ECE 206; ME 310 or TAM 335.
ABE454,Environmental Soil Physics,Agricultural and Biological Engineering,3 hours.,Provides the theoretical basis for understanding and quantifying the physical  hydrological  geotechnical  and thermal properties of soil in relation to environmental processes. Topics include general soil properties as a porous media  particle size  soil structure and aggregation  water retention and potential  flow in saturated soil  flow in an unsaturated soil  soil temperature and heat flow  soil mechanics  infiltration  and soil-plant-water relations. 3 undergraduate hours. 3 graduate hours. Prerequisite: TAM 335 or NRES 201 or consent of instructor.
ABE501,Graduate Research I,Agricultural and Biological Engineering,1 hours.,Basic research orientation  research methods  presentation skills  laboratory practices  case studies  and professional and ethical conduct.
ABE474,Indoor Environmental Control,Agricultural and Biological Engineering,3 OR 4 hours.,Analysis of indoor environments and relationship with humans  animals and plants. Interactions between facilities operation and both human comfort and animal plant production. Psychrometrics  occupant health and comfort  structural heat transfer  heating and cooling loads  and energy and mass balances as related to indoor environment  air properties  and ventilation. 3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: TAM 335  and ME 300 or CHBE 321  or consent of instructor.
ABE599,Thesis Research,Agricultural and Biological Engineering,0 TO 16 hours.,Approved for S/U grading only. May be repeated.
ABE498,Special Topics,Agricultural and Biological Engineering,1 to 4 hours.,Subject offerings of new and developing areas of knowledge in agricultural and biological engineering intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. 1 to 4 undergraduate hours. 1 to 4 graduate hours. May be repeated in the same or separate terms if topics vary to a maximum of 16 hours.
ABE398,Special Topics,Agricultural and Biological Engineering,1 TO 3 hours.,Subject offerings of new and developing areas of knowledge in agricultural and biological engineering intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. May be repeated in the same or separate term if topics vary to a maximum of 12 hours.
ABE482,Package Engineering,Agricultural and Biological Engineering,3 hours.,Same as FSHN 469. See FSHN 469.
ABE483,Engineering Properties of Food Materials,Agricultural and Biological Engineering,3 hours.,Physical properties of foods and biological materials; properties relating to equipment design and the sensing and control of food processes; thermal  electromagnetic radiation  rheological  and other mechanical properties. 3 undergraduate hours. 3 graduate hours. Prerequisite: Senior status in engineering or consent of instructor.
ABE597,Independent Study,Agricultural and Biological Engineering,1 TO 4 hours.,Individual investigations or studies of any phases of agricultural engineering selected by the student and approved by the advisor and the faculty member who will supervise the study. May be repeated to a maximum of 16 hours. Prerequisite: Consent of instructor.
ABE488,Bioprocessing Biomass for Fuel,Agricultural and Biological Engineering,4 hours.,Engineering and scientific principles governing bioprocessing of biomass for production of ethanol and other fermentation products. Process unit operations; conventional and alternative feed stock materials; recovery of value-added coproducts and other variables involved in producing fuel ethanol; process simulation; economic analysis. 4 undergraduate hours. 4 graduate hours. Prerequisite: ME 200 or ChBE 321. Restricted to students with junior or senior class standing.
ABE223,ABE Principles: Machine Syst,Agricultural and Biological Engineering,2 hours.,Machinery systems for off-road applications: internal combustion engines; fluid power; tractors  and traction; chemical application; grain harvesting. Prerequisite: One of MATH 220  MATH 221  MATH 234.
ABE436,Renewable Energy Systems,Agricultural and Biological Engineering,3 OR 4 hours.,Renewable energy sources and applications  including solar  geothermal  wind  and biomass. Renewable energy's role in reducing air pollution and global climate change. Capstone project to design a system for converting renewable energy into thermal or electrical energy. 3 undergraduate hours. 4 graduate hours. Credit is not given for both ABE 436 and TSM 438. Prerequisite: PHYS 211.
ABE450,International Water Project I,Agricultural and Biological Engineering,3 hours.,First of two courses that assists an international rural community in establishing a sustainable water system. Serve a developing community effectively by working closely with alumni mentors and professional advisors on conceptual design development. Have the opportunity to travel to Honduras during Winter Break. Open to students in all majors. Same as LAST 440. 3 undergraduate hours. No graduate credit.
ABE458,NPS Pollution Modeling,Agricultural and Biological Engineering,2 hours.,Concepts  principles  and application of modeling for assessment and management of agricultural nonpoint source pollution. Modeling of agroecosystems and land use impacts on hydrologic and water quality response of upland catchments. Model selection  calibration  validation  and application for comparative analysis. Case studies in current watershed management issues  with a focus on agricultural waste and nutrient management  using existing field and watershed nonpoint source pollution models. 2 undergraduate hours. 2 graduate hours. Prerequisite: ABE 457.
ABE232,Context in International Interventions,Agricultural and Biological Engineering,3 hours.,This multi-disciplinary course will examine a new approach to infrastructure engineering for alternately developed societies that seeks to counteract the disconnects and differing objectives among project stakeholders that result in lack of infrastructure sustainability and resiliency. Using a case study from Western Africa  the course will consider the impact of globalization  the attitudes of industrialized societies  and the role of place-based knowledge in designing and implementing infrastructure interventions for rural societies.
ABE594,Graduate Seminar,Agricultural and Biological Engineering,0 hours.,Presentations of thesis research by graduate students; other presentations on teaching or current research issues related to agricultural and biological engineering. Approved for S/U grading only. May be repeated up to a maximum of 6 times.
ABE152,Water in the Global Environment,Agricultural and Biological Engineering,3 hours.,Course develops comprehensive understanding and appreciation of water and its impact in a global context  and cultural practices associated with water and its use. Students will develop critical knowledge of: 1) water availability  water quality  and global challenges; 2) historical perspectives of water use; 3) past  present and future environmental sustainability in relation to water  food  and energy; and 4) conduct analysis of cultural practices and their sustainability based on water in a global context.
ABE430,Project Management,Agricultural and Biological Engineering,2 hours.,Engineering team effectiveness; project definition; assessing related technologies; marketing and business planning related to engineering; budgeting and financial analyses of engineering projects; safety  ethics and environmental considerations; intellectual property; engineering proposal presentation. Same as TSM 430. 2 undergraduate hours. 2 graduate hours.
ABE457,NPS Pollution Processes,Agricultural and Biological Engineering,2 hours.,Principles  concepts  and analysis of processes for nonpoint source pollution involving sediment  inorganic and organic chemicals  and microbial pathogens; hydrologic and pollutant interactions  pollutant fate and transport processes from storm water runoff and percolation; impact of pollutant transport on receiving water and ecosystems. 2 undergraduate hours. 2 graduate hours. Prerequisite: ABE 224 or CEE 350.
ABE397,Independent Study,Agricultural and Biological Engineering,1 TO 4 hours.,Individual research  special problems  thesis  development or design work under the supervision of a member of the faculty. May be repeated to a maximum of 8 hours. Prerequisite: Consent of instructor.
ABE440,Applied Statistical Methods I,Agricultural and Biological Engineering,4 hours.,Same as ANSC 440  CPSC 440  FSHN 440  and NRES 440. See CPSC 440.
ABE502,Graduate Research II,Agricultural and Biological Engineering,1 hours.,Research methodology  teaching methods  lecture preparation and delivery  critical review of scientific articles  peer review and publishing  mentoring and peer relationships  time management  and intellectual property.
ABE224,ABE Principles: Soil &amp; Water,Agricultural and Biological Engineering,2 hours.,Engineering principles and methods of design and management of natural resources and environmental systems; watershed and hydrologic cycle; infiltration and surveying; runoff and erosion; water quality; non-point source pollution. Prerequisite: One of MATH 220  MATH 221  MATH 234.
ABE361,Off-Road Machine Design,Agricultural and Biological Engineering,3 hours.,Design and development concepts of agricultural and industrial machines; analysis and synthesis of tillage  planting  harvesting  chemical application  material handling mechanisms  and precision farming tools. Prerequisite: ABE 223 and TAM 212.
ACCY212,Understanding Accounting for Business Decisions,Accountancy,3 hours.,This course provides a fundamental understanding of how accounting facilitates and influences decisions made by owners  managers  and employees within an organization. Accounting provides information for all types of decisions  ranging from everyday operational and procedural decisions to decisions about the long-term strategy and direction of the firm. Course topics include pricing  product selection  resource planning and allocation  and operational and strategic performance measurement. Credit is not given for ACCY 212 if credit has been given for ACCY 200  ACCY 201  and/or ACCY 202. ACCY 212 does not count toward undergraduate degree requirements for degrees offered through the College of Business or toward the Business Minor. Prerequisite: Intended for non-business majors.
ACCY199,Undergraduate Open Seminar,Accountancy,1 TO 5 hours.,May be repeated.
ACCY211,Understanding Financial Statements,Accountancy,3 hours.,Provides a basic understanding of financial statements. Topics include financial statement components and their meaning  the broader purpose of financial statements  and the role of accounting in producing financial statements. Emphasizes the ability to read and  to some extent  interpret real-world financial statements. Credit is not given for ACCY 211 if credit has been given for ACCY 200  ACCY 201  and/or ACCY 202. ACCY 211 does not count toward undergraduate degree requirements for degrees offered through the College of Business or toward the Business Minor. Prerequisite: Intended for non-business majors.
ACCY201,Accounting and Accountancy I,Accountancy,3 hours.,Develops a foundation for understanding and analyzing how accounting information is generated and interpreted by both external and internal decision makers. Students will begin by identifying the information conveyed in each of the basic financial statements and understand the way that this information is used by different external decision makers. Students will then focus on information used by management  with an emphasis on analysis to facilitate and guide management decision making  planning and control. Credit is not given for both ACCY 201 and ACCY 200. Prerequisite: Prior to enrollment in ACCY 201  students must: 1) have completed either ECON 102 or ECON 103; AND 2) have completed or be concurrently enrolled in the remaining ECON 102 or ECON 103 course.
ACCY499,Senior Research,Accountancy,2 TO 4 hours.,Research and readings course for students majoring in accountancy. May be taken by students in the college honors program in partial fulfillment of the honors requirements. 2 to 4 undergraduate hours. No graduate credit. May be repeated to a maximum of 6 hours. Prerequisite: Cumulative grade-point average of 3.0.  honors in the junior year  or consent of department; senior standing.
ACCY312,Principles of Taxation,Accountancy,3 hours.,Introduction to the United States federal income tax system with an emphasis on income tax determination and the taxation of property transactions. Topics include the tax environment  tax provisions relevant to businesses  employees and business owners. Projects facilitate self-discovery of knowledge and development of a variety of professional skills and attitudes. Prerequisite: ACCY 202 or equivalent.
ACCY200,Fundamentals of Accounting,Accountancy,3 hours.,Survey course in the principles of accounting for students registered in schools and colleges other than the College of Business. Credit is not given for both ACCY 200 and either ACCY 201 or ACCY 202. Prerequisite: Sophomore standing.
ACCY410,Advanced Financial Reporting,Accountancy,3 OR 4 hours.,Current authoritative accounting standards and applications to accounting practice. Topics do not represent the full range of financial reporting issues  but are selected based on relevance of the underlying business transaction  complexity of the topic  consistency of applicable standard with underlying reporting concepts  and transferability of the standard to other accounting issues.  3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: ACCY 303 or consent of department.
ACCY290,Prof Internship in Accountancy,Accountancy,0 TO 3 hours.,Formalized learning experience in combination with practice of accounting while engaged in an internship with a public accounting firm  business  or other off-campus organization; prior approval of learning plan and a summary report of learning experience are required. Approved for Letter and S/U grading. May be repeated in subsequent terms to a maximum of 3 hours. Prerequisite: Open to Department of Accountancy students; completion of ACCY 201 and ACCY 202 (or equivalent); and consent of department.
ACCY511,External Risk Measurement and Reporting,Accountancy,4 hours.,Application of the concepts of risk and uncertainty to the financial management of organizations in achieving business objectives and strategies  with an emphasis on the role of accounting measurement and reporting in the management of such risks. Focuses on integrating knowledge acquired from behavioral  economic  finance  and accounting perspectives. 4 graduate hours. No professional credit. Prerequisite: ACCY 410 and FIN 300  or equivalent  and enrollment in graduate accounting degree program; or consent of department.
ACCY398,Practical Problems in Atg,Accountancy,0 TO 16 hours.,Course covers the professional standards relating to corporate financial reporting  taxation  auditing and public sector reporting. Serves as a review course for the Uniform Certified Public Accountant (CPA) Examination. Additional fees may apply. See Class Schedule. Approved for Letter and S/U grading. May be repeated up to 16 hours in separate terms  if topics vary. Credit is not given towards degree requirements. Prerequisite: Consent of the Department. Intended for students enrolled in the BS in Accountancy  Certificate in Accountancy  MAS  and MSA programs. Students from other UIUC programs must demonstrate that they have taken courses in financial accounting (beyond introductory level)  cost/managerial accounting (beyond introductory level)  auditing  and taxation.
ACCY555,Income Tax Accounting,Accountancy,2 hours.,This course analyzes the underlying concepts for Accounting for Income Taxes. The course covers all aspects of financial statement income tax accounting including ASC 740  contingency reserves  purchase accounting; IFRS  footnote disclosures  and interim reporting. 2 graduate hours. No professional credit. Prerequisite: Restricted to students enrolled in the MS in Taxation Program.
ACCY302,Decision Making for Atg,Accountancy,3 hours.,We will develop and apply a framework to better understand the specific types of accounting information managers need to make key operational and strategic decisions. Utilizing business case studies and real-world projects  the course will also develop skills in gathering  visualizing  and statistically analyzing this accounting information to inform these important decisions. Prerequisite: ACCY 202 or equivalent; BADM 210 or concurrent enrollment; and recommend concurrent enrollment in ACCY 301 for Accountancy majors.
ACCY557,Accounting Periods and Methods,Accountancy,2 hours.,Covers federal income tax rules concerning the choice  utilization  and changes regarding tax accounting periods and methods  including the following: overall methods of accounting  revenue recognition  deductions  capitalization  accounting periods  and certain other special tax accounting concepts available to taxpayers. 2 graduate hours. No professional credit.
